June 2019 : US Category Changes,,,,,,,,,,
,,,,,,,,,,
Change Type,Count,,,,,,,,,
New,1216,,,,,,,,,
Retired,435,,,,,,,,,
Rename,137,,,,,,,,,
Move,67,,,,,,,,,
Move & Rename,46,,,,,,,,,
Total,1901,,,,,,,,,
,,,,,,,,,,
Category Name,,,,,,,,Category ID,Comments,Actions Required
,,-,Semiconductor & PCB Manufacturing Equipment,,,,,58290,Renamed from [Semiconductor & PCB Manufacturing],
,,,,Burn-in Equipment,,,,58296,,
,,,,Burn-in Equipment Components,,,,258261,New Category,
,,,,Cleanroom Equipment,,,,58291,Renamed from [Cleanroom Equipment & Supplies],
,,,,Inspection Equipment,,,,58292,All listings are being moved into [Other Inspection Equipment & Components - 258267].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,PCB Assembly Equipment,,,,58293,All listings are being moved into [Other PCB Assembly Equipment & Components - 258283].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,Semiconductor Test & Assembly Equipment,,,,45045,All listings are being moved into [Other Test & Assembly Equipment & Components - 258290].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,Wafer Processing,,,,45044,All listings are being moved into [Other Semiconductor & PCB Manufacturing - 58295].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,Cleanroom Components,,,,258262,New Category,
,,,-,Inspection Equipment,,,,258263,New Category,
,,,,,Industrial Microscopes,,,258264,New Category,
,,,,,Industrial Microscope Components,,,258265,New Category,
,,,,,Measurement Equipment,,,258266,New Category,
,,,,,Other Inspection Equipment & Components,,,258267,New Category,
,,,-,PCB Assembly Equipment,,,,258268,New Category,
,,,,,PCB Assembly Lines,,,258269,New Category,
,,,,,PCB Axial & Radial Inserters,,,258273,New Category,
,,,,,PCB Cleaners,,,258276,New Category,
,,,,,PCB Conveyors,,,258270,New Category,
,,,,,PCB Feeders,,,258271,New Category,
,,,,,PCB Magazine Loader Machines,,,258275,New Category,
,,,,,PCB Mounting Cards,,,258277,New Category,
,,,,,PCB Printers,,,258282,New Category,
,,,,,PCB Soldering Equipment,,,258278,New Category,
,,,,,PCB Soldering Components,,,258279,New Category,
,,,,,Pick and Place/SMT Machines,,,258280,New Category,
,,,,,Pick and Place Machine/SMT Components,,,258281,New Category,
,,,,,Other PCB Assembly Equipment & Components,,,258283,New Category,
,,,-,Semiconductor Test & Assembly Equipment,,,,258284,New Category,
,,,,,IC Bonding Equipment,,,258285,New Category,
,,,,,Probes,,,258286,New Category,
,,,,,Probing Machines,,,258287,New Category,
,,,,,Probing Machine Components,,,258288,New Category,
,,,,,Testing Equipment,,,258289,New Category,
,,,,,Other Test & Assembly Equipment & Components,,,258290,New Category,
,,,-,Wafer Processing,,,,258291,New Category,
,,,,,Silicon Wafers,,,258292,New Category,
,,,,,Wafer Processing Equipment,,,258293,New Category,
,,,,,Wafer Processing Components,,,258294,New Category,
,,,,Tool & Machine Components,,,,58294,,
,,,,Other Semiconductor & PCB Manufacturing,,,,58295,,
,,-,Textile & Apparel Equipment,,,,,45033,,
,,,,Cutting & Finishing Machines,,,,67223,All listings are being moved into [Other Textile & Apparel Equipment - 45036].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,-,Cutting & Finishing Machines,,,,258295,New Category,
,,,,,Die Cutting Machines,,,258296,New Category,
,,,,,Drill & Notcher Machines,,,258297,New Category,
,,,,,Laser & Ultrasonic Cutting Machines,,,258298,New Category,
,,,,,Round Knife Cutting Machines,,,258299,New Category,
,,,,,Straight Knife Cutting Machines,,,258300,New Category,
,,,,,Finishing Machines,,,258301,New Category,
,,,,Embroidery Machines,,,,67224,,
,,,,Industrial Sewing Machines,,,,26256,Renamed from [Sewing Machines],
,,,,Textile Machine Parts & Attachments,,,,45034,Renamed from [Machine Parts & Attachments],
,,,,Textile Supplies,,,,53235,Renamed from [Supplies],
,,,,Other Textile & Apparel Equipment,,,,45036,,
,,-,Welding & Soldering Equipment,,,,,182941,,
,,,-,Soldering/Desoldering Equipment & Accessories,,,,182942,Renamed from [Soldering & Desoldering],
,,,,,Soldering Irons,,,109556,All listings are being moved into [Soldering Guns & Irons - 258302].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Soldering Guns,,,182944,All listings are being moved into [Soldering Guns & Irons - 258302].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,-,Solder & Soldering Consumables,,,182949,,
,,,,,,Desolder Braids/Solder Wicks,,182950,,
,,,,,,Tinner & Cleaner Compounds,,182951,,
,,,,,,Soldering Flux,,182952,,
,,,,,,Solder,,124821,,
,,,,,,Other Soldering Consumables,,182953,,
,,,,,Solder Pots/Desolder Baths,,,182947,Renamed from [Solder Pots & Desolder Baths],
,,,,,Soldering & Rework Stations,,,182943,,
,,,,,Soldering Fume Extractors,,,182948,,
,,,,,Soldering Guns & Irons,,,258302,New Category,
,,,,,Soldering Iron Holders,,,182945,,
,,,,,Soldering Tips,,,109557,,
,,,,,Wire Tip Cleaners,,,182946,,
,,,,,BGA Reballing Stations & Kits,,,182954,,
,,,,,Other Solder & Desolder Accessories,,,57012,,
,,,-,Welding Equipment & Accessories,,,,34095,Renamed from [Welding],
,,,,-,"Welders, Cutters & Torches",,,182897,,
,,,,,,Gas Cutting Torches,,182903,,
,,,,,,Gas Welding & Cutting Kits,,182904,,
,,,,,,Gas Welding Torches,,182902,,
,,,,,,MIG Guns & Torches,,67054,,
,,,,,,MIG Welders,,124822,,
,,,,,,Multiprocess Welders & Cutters,,182899,,
,,,,,,Plasma Cutter Torches & Bodies,,182900,,
,,,,,,Plasma Cutters,,166672,,
,,,,,,Spot Welders,,182901,,
,,,,,,Stick Welders,,182898,,
,,,,,,TIG Torches,,67062,,
,,,,,,TIG Welders,,124825,,
,,,,,,Torch Hoses & Tips,,258109,New Category,
,,,,,"Welding Benches, Positioners & Tables",,,182917,Renamed from [Welding Positioners],
,,,,,Welding Cables & Reels,,,182915,Renamed from [Welding Cables],
,,,,,Welding Carts,,,67053,,
,,,,,Welding Circuit Boards,,,258173,New Category,
,,,,,Welding Gas Cylinders,,,124820,,
,,,,,Welding Magnets,,,258175,New Category,
,,,,-,Welding Materials,,,182905,"Renamed from [Electrodes, Rods & Wires]",
,,,,,,Welding Rods & Wires,,34097,All listings are being moved into [Other Welding Materials - 182907].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,,,Plasma Cutter Electrodes,,182906,,
,,,,,,Tungsten Electrodes,,67063,,
,,,,,,Welding Rods,,258303,New Category,
,,,,,,Welding Wires,,258304,New Category,
,,,,,,Other Welding Materials,,182907,Renamed from [Other Weld Materials],
,,,,-,Welding Protective Gear,,,67044,,
,,,,,,Welding Aprons,,58260,,
,,,,,,Welding Blankets,,182895,,
,,,,,,Welding Covers,,258174,New Category,
,,,,,,Welding Curtains,,182896,,
,,,,,,Welding Gloves,,67045,,
,,,,,,Welding Goggles,,67046,,
,,,,,,Welding Helmet & Goggle Lenses,,171584,,
,,,,,,Welding Helmets,,92090,,
,,,,,,Welding Jackets,,67051,,
,,,,,,Welding Screens,,182894,,
,,,,,,Welding Sleeves,,182893,,
,,,,,,Other Welding Protective Gear,,67052,,
,,,,,"Gas Regulators, Valves & Accessories",,,182916,,
,,,,-,"MIG, TIG & Stick Welding Accessories",,,182908,,
,,,,,,Electrode Drying Ovens,,182910,,
,,,,,,Electrode Holders,,182909,,
,,,,,,Electrode Sharpeners & Grinders,,258171,New Category,
,,,,,,Foot Control Pedals,,258172,New Category,
,,,,,,"Nozzles, Collets & Lenses",,171586,,
,,,,,,"Other MIG, TIG & Stick Accessories",,182911,,
,,,,-,Plasma Cutting Accessories,,,182912,,
,,,,,,Cutter Guides & Stencils,,182914,,
,,,,,,Plasma Cutter Kits,,182913,,
,,,,,,Plasma Cutter Tips & Nozzles,,171585,,
,,,,,Welding Books & Manuals,,,182918,,
,,,,,Other Welding Equipment,,,11774,,
,,-,Woodworking Tools & Supplies,,,,,42935,This Category is being retired.,
,,,,Blades,,,,42937,All listings are being moved into [Other Woodworking Supplies - 42938].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,Carving Tools & Chisels,,,,57125,All listings are being moved into [Other Carving Tools - 258336].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,Clamps & Vises,,,,53237,All listings are being moved into [Other Workholding - 36345].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,-,Equipment & Machinery,,,,57120,This Category is being retired.,
,,,,,Drill Presses,,,67226,All listings are being moved into [Other Woodworking Equipment - 11810].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,,Sanders,,,57123,All listings are being moved into [Other Woodworking Equipment - 11810].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,,Saws,,,57124,All listings are being moved into [Other Woodworking Equipment - 11810].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,Lumber & Veneer,,,,67236,All listings are being moved into [Other Raw Materials - 258260].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,Router Bits,,,,67243,All listings are being moved into [Other Woodworking Supplies - 42938].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,-,Woodworking Equipment,,,,,259031,New Category,
,,,,Bench & Floor Drill Presses,,,,258307,New Category,
,,,,Boring Machines,,,,67228,Moved from [Equipment & Machinery-57120],
,,,,Combination Machines,,,,259037,New Category,
,,,,Door Machines,,,,259032,New Category,
,,,,Dovetail Machines,,,,259035,New Category,
,,,,Edge Bander Machines,,,,258305,New Category,
,,,,Jointers,,,,67227,Moved from [Equipment & Machinery-57120],
,,,,Lathes,,,,57121,Moved from [Equipment & Machinery-57120],
,,,,Magnetic & Portable Drill Presses,,,,258308,New Category,
,,,,Mortising Machines,,,,259036,New Category,
,,,,Planers,,,,67229,Moved from [Equipment & Machinery-57120],
,,,,Pocket Hole Machines,,,,259033,New Category,
,,,,Routers,,,,57122,Moved from [Equipment & Machinery-57120],
,,,-,Sanders,,,,258309,New Category,
,,,,,Floor Sanders,,,258310,New Category,
,,,,,Handheld Sanders,,,258311,New Category,
,,,,,Sanding Belts & Accessories,,,258312,New Category,
,,,-,Saws,,,,258313,New Category,
,,,,,Circular Saws,,,258317,New Category,
,,,,,Hacksaws,,,258318,New Category,
,,,,,Hand Saws,,,258319,New Category,
,,,,,Jig & Scroll Saws,,,258320,New Category,
,,,,,Miter Saws,,,258321,New Category,
,,,,,Portable Band Saws,,,258315,New Category,
,,,,,Reciprocating Saws,,,258322,New Category,
,,,,,Stationary Band Saws,,,258316,New Category,
,,,,,Table Saws,,,258323,New Category,
,,,,Shaper Machines,,,,259038,New Category,
,,,,Tenon Machines,,,,259034,New Category,
,,,,Other Woodworking Equipment,,,,11810,Moved from [Equipment & Machinery-57120],
,,,Woodworking Manuals & Books,,,,,67237,Moved from [Woodworking Tools & Supplies-42935],
,,-,Woodworking Supplies,,,,,258324,New Category,
,,,-,Blades,,,,258325,New Category,
,,,,,Band Saw Blades,,,258326,New Category,
,,,,,Circular Saw Blades,,,258327,New Category,
,,,,,Hacksaw Blades,,,258328,New Category,
,,,,,Hand Saw Blades,,,258329,New Category,
,,,,,Jig & Scroll Saw Blades,,,258330,New Category,
,,,,,Reciprocating Saw Blades,,,258331,New Category,
,,,,,Table & Dado Saw Blades,,,258332,New Category,
,,,-,Carving Tools & Chisels,,,,258333,New Category,
,,,,,Chisels,,,258334,New Category,
,,,,,Knives,,,258335,New Category,
,,,,,Other Carving Tools,,,258336,New Category,
,,,-,Router Bits,,,,258337,New Category,
,,,,,Diamond Pattern Router Bits,,,258338,New Category,
,,,,,Edge Profile Router Bits,,,258339,New Category,
,,,,,Spiral Router Bits,,,258340,New Category,
,,,,,Straight Router Bits,,,258341,New Category,
,,,,Wood Drill Bits,,,,67240,Moved from [Woodworking Tools & Supplies-42935] Renamed from [Drill Bits],
,,,,Other Woodworking Supplies,,,,42938,Moved from [Woodworking Tools & Supplies-42935] Renamed from [Other Woodworking],
,,-,Workholding & Toolholding,,,,,185133,,
,,,-,Toolholding,,,,45017,,
,,,,,Arbors & Adapters,,,58250,All listings are being moved into [Other Toolholding - 25295].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,,Boring Tool Holders,,,58251,All listings are being moved into [Other Toolholding - 25295].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
